,L,Beta,Sheet ID,Sheet Name,N,Eigen Values1,Eigen Values2,Eigen Values3,Eigen Values4,Eigen Values5,Eigen Values6,Eigen Values7,Eigen Values8
0,5,0.1,0,horizontal,1000,1842509.6129135268,1192640.822186625,1524849.564899847,664612.3639624502,848388.7511014956,926998.8849360554,240000.0,4520000.0
1,5,0.1,1,vertical,1000,1424663.711627313,1571689.1778163258,1883647.1105563631,550034.3784748176,764111.0019638665,685854.6195613167,320000.0,5600000.0
2,5,0.1,2,h and v,5000,9650915.447087679,6644696.844682483,7504387.708229839,3943869.4275724166,3374781.3358351067,3241349.2365924786,1720000.0,29760000.0
3,5,0.1,3,random p=0.0,200,416568.5424949238,303431.4575050762,135278.6404500042,224721.3595499958,40000.0,80000.0,360000.0,440000.0
4,5,0.1,4,random p=0.1,200,120000.0,160000.0,120000.0,320000.0,40000.0,280000.0,480000.0,560000.0
5,5,0.1,5,random p=0.2,200,256568.5424949238,143431.4575050762,0.0,160000.0,200000.0,240000.0,120000.0,1440000.0
6,5,0.1,6,random p=0.30000000000000004,200,160000.0,120000.0,240000.0,160000.0,240000.0,360000.0,200000.0,920000.0
7,5,0.1,7,random p=0.4,200,429282.03230275505,290717.96769724495,320000.0,160000.0,40000.0,160000.0,120000.0,800000.0
8,5,0.1,8,random p=0.5,200,72296.70385730988,287703.29614269006,541655.2506059643,298344.7493940356,40000.0,0.0,160000.0,1160000.0
9,5,0.1,9,random p=0.6000000000000001,200,135278.6404500042,224721.3595499958,40000.0,240000.0,200000.0,240000.0,0.0,2680000.0
10,5,0.1,10,random p=0.7000000000000001,200,80000.0,160000.0,80000.0,360000.0,40000.0,280000.0,240000.0,1000000.0
11,5,0.2,0,horizontal,1000,1630998.2930652723,1268509.0340080836,740492.6729266434,40000.0,280000.0,200000.0,200000.0,17480000.0
12,5,0.2,1,vertical,1000,1786031.4533901613,1458790.280232278,1115178.266377563,344721.3595499959,255278.6404500042,120000.0,160000.0,12920000.0
13,5,0.2,2,h and v,5000,7614454.100363209,6403680.911398911,5941864.988237885,1336568.542494924,1223431.457505076,520000.0,1800000.0,73080000.0
14,5,0.2,3,random p=0.0,200,80000.0,40000.0,160000.0,320000.0,120000.0,240000.0,480000.0,1040000.0
15,5,0.2,4,random p=0.1,200,206862.91501015238,433137.0849898476,40000.0,40000.0,0.0,40000.0,280000.0,2560000.0
16,5,0.2,5,random p=0.2,200,280000.0,480000.0,0.0,0.0,0.0,280000.0,80000.0,7120000.0
17,5,0.2,6,random p=0.30000000000000004,200,15278.640450004204,104721.35954999579,0.0,0.0,40000.0,40000.0,40000.0,39600000.0
18,5,0.2,7,random p=0.4,200,40000.0,40000.0,40000.0,200000.0,80000.0,200000.0,120000.0,4320000.0
19,5,0.2,8,random p=0.5,200,40000.0,0.0,0.0,160000.0,0.0,40000.0,0.0,67600000.0
20,5,0.2,9,random p=0.6000000000000001,200,107888.9744907202,252111.02550927977,40000.0,40000.0,0.0,80000.0,0.0,18680000.0
21,5,0.2,10,random p=0.7000000000000001,200,313508.89359326486,566491.1064067351,40000.0,120000.0,120000.0,80000.0,280000.0,720000.0
22,5,0.3,0,horizontal,1000,1708692.1319700396,942819.7322358758,1268488.1357940852,0.0,200000.0,160000.0,120000.0,18000000.0
23,5,0.3,1,vertical,1000,2451290.3270225283,555352.8404100179,846214.835458331,107141.99710912141,0.0,80000.0,40000.0,152720000.0
24,5,0.3,2,h and v,5000,8401252.489637721,5204576.608782891,4514170.9015794005,40000.0,680000.0,760000.0,920000.0,123720000.0
25,5,0.3,3,random p=0.0,200,0.0,40000.0,40000.0,320000.0,80000.0,240000.0,0.0,5600000.0
26,5,0.3,4,random p=0.1,200,0.0,0.0,40000.0,80000.0,80000.0,200000.0,120000.0,19400000.0
27,5,0.3,5,random p=0.2,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
28,5,0.3,6,random p=0.30000000000000004,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
29,5,0.3,7,random p=0.4,200,0.0,40000.0,40000.0,80000.0,0.0,120000.0,40000.0,11120000.0
30,5,0.3,8,random p=0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
31,5,0.3,9,random p=0.6000000000000001,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0
32,5,0.3,10,random p=0.7000000000000001,200,15278.640450004204,104721.35954999579,0.0,40000.0,40000.0,0.0,40000.0,17120000.0
33,5,0.4,0,horizontal,1000,1044924.2250247065,715075.7749752935,0.0,80000.0,40000.0,160000.0,960000.0,24040000.0
34,5,0.4,1,vertical,1000,1478151.0764673525,953062.1855440051,888786.7379886425,40000.0,80000.0,80000.0,80000.0,77280000.0
