,L,Beta,Sheet ID,Sheet Name,N, Eigen Value1, Eigen Value2, Eigen Value3, Eigen Value4, Eigen Value5, Eigen Value6, Eigen Value7, Eigen Value8
0,6,0.1,0,horizontal,1200,2859970.541404403,2485844.765346026,2134184.693249568,1156941.0712406817,1683058.928759318,360000.0,1040000.0,10920000.0
1,6,0.1,1,vertical,1200,4339827.732006533,2807967.5651885252,2612204.702804942,1609284.9839314595,910715.0160685404,960000.0,1000000.0,8480000.0
2,6,0.1,2,h and v,7200,19262960.03179387,16059611.071906524,16477428.896299593,7011969.96354883,7436427.950760121,8151602.085691039,3400000.0,53480000.0
3,6,0.1,3,random p=0.0,200,514164.07864998735,245835.92135001262,40000.0,160000.0,80000.0,120000.0,560000.0,2280000.0
4,6,0.1,4,random p=0.1,200,267631.6907207172,408377.6589808574,803990.6502984253,120000.0,80000.0,320000.0,160000.0,1840000.0
5,6,0.1,5,random p=0.2,200,374662.9894204123,634595.406163118,550741.60441647,144721.3595499958,55278.64045000421,120000.0,160000.0,1480000.0
6,6,0.1,6,random p=0.30000000000000004,200,526491.1064067351,273508.8935932648,120000.0,240000.0,400000.0,360000.0,280000.0,1160000.0
7,6,0.1,7,random p=0.4,200,487703.2961426901,272296.70385730994,120000.0,120000.0,120000.0,120000.0,160000.0,5560000.0
8,6,0.1,8,random p=0.5,200,264721.3595499958,175278.6404500042,347017.7871865296,852982.2128134704,280000.0,200000.0,360000.0,1120000.0
9,6,0.1,9,random p=0.6000000000000001,200,452111.0255092798,307888.9744907202,252111.0255092798,107888.97449072021,160000.0,40000.0,440000.0,2560000.0
10,6,0.1,10,random p=0.7000000000000001,200,320000.0,520000.0,280000.0,200000.0,160000.0,280000.0,280000.0,1880000.0
11,6,0.2,0,horizontal,1200,2087712.606322172,2693666.8432351677,2458620.55044266,120000.0,440000.0,320000.0,440000.0,29280000.0
12,6,0.2,1,vertical,1200,2592718.90827716,2116046.733485042,2291234.3582377937,200000.0,560000.0,720000.0,640000.0,25200000.0
13,6,0.2,2,h and v,7200,15649935.546809267,11921169.293619359,11068895.159571363,2542487.777176136,3055422.0176479043,3482090.2051759637,800000.0,193560000.0
14,6,0.2,3,random p=0.0,200,40000.0,0.0,0.0,40000.0,0.0,0.0,160000.0,67440000.0
15,6,0.2,4,random p=0.1,200,680000.0,440000.0,0.0,80000.0,40000.0,80000.0,400000.0,3320000.0
16,6,0.2,5,random p=0.2,200,91271.4136893898,316145.02761930693,392583.558691303,0.0,120000.0,120000.0,80000.0,28800000.0
17,6,0.2,6,random p=0.30000000000000004,200,368058.89352876967,130137.27012017132,221803.83635105906,0.0,40000.0,40000.0,40000.0,19240000.0
18,6,0.2,7,random p=0.4,200,412111.0255092798,267888.9744907202,0.0,0.0,80000.0,40000.0,520000.0,5960000.0
19,6,0.2,8,random p=0.5,200,0.0,40000.0,80000.0,440000.0,80000.0,400000.0,280000.0,4600000.0
20,6,0.2,9,random p=0.6000000000000001,200,310557.2809000084,489442.7190999916,40000.0,240000.0,120000.0,840000.0,80000.0,2040000.0
21,6,0.2,10,random p=0.7000000000000001,200,481638.5837950987,243539.8674369989,314821.54876790236,0.0,40000.0,80000.0,0.0,6280000.0
22,6,0.3,0,horizontal,1200,1175429.7399113807,1648944.497708675,1855625.762379943,200000.0,160000.0,80000.0,160000.0,47680000.0
23,6,0.3,1,vertical,1200,1326454.247953759,2188027.605347684,1765518.1466985578,0.0,160000.0,200000.0,280000.0,119920000.0
24,6,0.3,2,h and v,7200,14383399.409196436,8600558.571646703,9016042.019156875,1366053.0372594518,1693487.0178571334,1740459.9448834162,240000.0,281360000.0
25,6,0.3,3,random p=0.0,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207360000.0
26,6,0.3,4,random p=0.1,200,0.0,80000.0,0.0,160000.0,80000.0,360000.0,120000.0,39200000.0
